Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Accuracy
6,50,0.0
0,143.0,0.006944444444444444,0.11062935176221388,100.0,0.425531914893617
1,143.0,0.006944444444444444,0.05929907063590747,100.0,0.425531914893617
2,143.0,0.006944444444444444,0.04445320926284929,100.0,0.425531914893617
3,143.0,0.006944444444444444,0.03325455837636473,100.0,0.425531914893617
4,143.0,0.006944444444444444,0.031770093920068194,100.0,0.425531914893617
5,143.0,0.006944444444444444,0.03298006605132703,100.0,0.425531914893617
6,140.0,0.0070921985815602835,0.026344734629408378,100.0,0.425531914893617
7,131.0,0.007575757575757576,0.029066226945094576,109.0,0.46382978723404256
8,131.0,0.007575757575757576,0.027695843855030666,109.0,0.46382978723404256
9,131.0,0.007575757575757576,0.031237459714447788,109.0,0.46382978723404256
10,131.0,0.007575757575757576,0.03528733909521635,109.0,0.46382978723404256
11,131.0,0.007575757575757576,0.031529165905623824,109.0,0.46382978723404256
12,131.0,0.007575757575757576,0.024965298649362547,109.0,0.46382978723404256
13,130.0,0.007633587786259542,0.032979463446430976,113.0,0.4808510638297872
14,130.0,0.007633587786259542,0.02999744350147226,113.0,0.4808510638297872
15,130.0,0.007633587786259542,0.029831354169602985,113.0,0.4808510638297872
16,130.0,0.007633587786259542,0.026059332471938434,113.0,0.4808510638297872
17,101.0,0.00980392156862745,0.03765081293806498,145.0,0.6170212765957447
18,101.0,0.00980392156862745,0.03659131333462187,145.0,0.6170212765957447
19,101.0,0.00980392156862745,0.033254620484268006,145.0,0.6170212765957447
20,101.0,0.00980392156862745,0.033777010719163565,145.0,0.6170212765957447
21,101.0,0.00980392156862745,0.036117700372135665,145.0,0.6170212765957447
22,101.0,0.00980392156862745,0.042800426429451914,145.0,0.6170212765957447
23,101.0,0.00980392156862745,0.041663129967602304,145.0,0.6170212765957447
24,101.0,0.00980392156862745,0.04052209755098047,145.0,0.6170212765957447
25,101.0,0.00980392156862745,0.03489878675721394,145.0,0.6170212765957447
26,101.0,0.00980392156862745,0.03506264371659714,145.0,0.6170212765957447
27,101.0,0.00980392156862745,0.04328977523973273,145.0,0.6170212765957447
28,101.0,0.00980392156862745,0.04770431028063236,145.0,0.6170212765957447
29,101.0,0.00980392156862745,0.04261397603747157,145.0,0.6170212765957447
30,101.0,0.00980392156862745,0.041664240066773016,145.0,0.6170212765957447
31,101.0,0.00980392156862745,0.03601011596002396,145.0,0.6170212765957447
32,101.0,0.00980392156862745,0.03414044174028736,145.0,0.6170212765957447
33,101.0,0.00980392156862745,0.03513394116636674,145.0,0.6170212765957447
34,104.0,0.009523809523809525,0.03330021816397117,145.0,0.6170212765957447
35,104.0,0.009523809523809525,0.03734801914434671,145.0,0.6170212765957447
36,104.0,0.009523809523809525,0.028969350214840348,145.0,0.6170212765957447
37,104.0,0.009523809523809525,0.029250019373013785,145.0,0.6170212765957447
38,104.0,0.009523809523809525,0.026533859603681792,145.0,0.6170212765957447
39,104.0,0.009523809523809525,0.047187696847416055,145.0,0.6170212765957447
40,104.0,0.009523809523809525,0.04352661055159104,145.0,0.6170212765957447
41,101.0,0.00980392156862745,0.03367976595255128,145.0,0.6170212765957447
42,101.0,0.00980392156862745,0.02755117013084913,145.0,0.6170212765957447
43,101.0,0.00980392156862745,0.030882910764208904,145.0,0.6170212765957447
44,101.0,0.00980392156862745,0.03102062751427982,145.0,0.6170212765957447
45,101.0,0.00980392156862745,0.03832856195652942,145.0,0.6170212765957447
46,101.0,0.00980392156862745,0.02768004220296885,145.0,0.6170212765957447
47,101.0,0.00980392156862745,0.026171571874415923,145.0,0.6170212765957447
48,101.0,0.00980392156862745,0.030537177012939568,145.0,0.6170212765957447
49,101.0,0.00980392156862745,0.026205689225207666,145.0,0.6170212765957447
50,101.0,0.00980392156862745,0.03233853951927513,145.0,0.6170212765957447
